Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-12-20T17:07:17.157192Z,,CASH TOP-UP,,,USD 25,USD,0.2294
2021-12-21T14:30:56.096721Z,SPGI,BUY - MARKET,0.07141837,USD 350.05,USD 25,USD,0.2268
2022-03-07T04:41:35.809239Z,SPGI,DIVIDEND,,,USD 0.05,USD,0.2300
2022-06-07T04:35:52.060374Z,SPGI,DIVIDEND,,,USD 0.05,USD,0.2429
2022-06-19T12:21:42.335784Z,SPGI,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,0.07141837,,USD 0,USD,0.2459
2022-06-19T12:21:42.355536Z,,TRANSFER FROM REVOLUT BANK UAB TO REVOLUT SECURITIES EUROPE UAB,,,USD 0.10,USD,0.2459
2022-09-07T09:35:27.977163Z,SPGI,DIVIDEND,,,USD 0.04,USD,0.2326
2022-09-28T18:14:28.301951Z,,CASH TOP-UP,,,USD 40,USD,0.2282
2022-09-28T18:14:46.026Z,SPGI,BUY - MARKET,0.1080789,USD 370.10,USD 40,USD,0.2282
2022-12-07T10:07:21.039111Z,SPGI,DIVIDEND,,,USD 0.08,USD,0.2498
2023-03-08T09:38:47.221602Z,SPGI,DIVIDEND,,,USD 0.08,USD,0.2555
2023-06-08T07:36:04.869467Z,SPGI,DIVIDEND,,,USD 0.08,USD,0.2504
2023-07-10T07:50:13.713366Z,,CASH TOP-UP,,,USD 1150,USD,0.2567
2023-07-10T13:37:53.778Z,SPGI,SELL - MARKET,0.17949727,USD 455.25,USD 81.71,USD,0.2573
2023-07-10T13:38:31.510Z,ABEV,BUY - MARKET,511.30456789,USD 2.39,USD 1220.05,USD,0.2573
2024-01-05T10:54:57.590488Z,ABEV,DIVIDEND,,,USD 18.40,USD,0.2420
2024-01-16T12:22:24.864658Z,ABEV,DIVIDEND,,,USD 35.60,USD,0.2441
2024-04-09T10:23:24.728589Z,ABEV,DIVIDEND,,,USD 12.75,USD,0.2655
2024-07-12T07:52:51.227605Z,ABEV,DIVIDEND,,,USD 13.20,USD,0.2742
2024-10-08T14:30:53.115760Z,ABEV,DIVIDEND,,,USD 13.45,USD,0.2728
2025-01-03T17:13:10.849992Z,ABEV,DIVIDEND,,,USD 42.30,USD,0.2772
2025-04-10T15:43:46.080448Z,ABEV,DIVIDEND,,,USD 6.90,USD,0.2789
2025-07-07T15:53:32.804159Z,ABEV,DIVIDEND,,,USD 6.90,USD,0.2643
